id,Município,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
140023,Caroebe,"11910,42","9420,35","8658,82","29,39","45,04","50,65","36,86","51,61","42,21","18,99","37,59","34,78"
140028,Iracema,682,1471,112,1153,100,1723,1332,398,872,189,645,
140030,Mucajaí,1116,1229,2199,1148,929,1761,1322,992,733,6,771,
140040,Normandia,0,135,266,0,0,107,0,0,0,0,19,
140045,Pacaraima,4514,3105,423,5264,1496,1187,1663,1029,1428,988,1778,
140047,Rorainópolis,3556,2839,3955,8676,2378,3278,6268,414,2932,432,177,
140050,São João da Baliza,2968,2691,2157,3541,87,299,3707,3513,3592,393,1163,
140060,São Luiz,874,304,2007,5926,146,1005,3745,3968,3375,0,0,
140070,Uiramutã,1351,775,1008,3437,1166,1597,241,215,211,414,508,
140000,Município ignorado - RR,0,0,0,0,0,0,0,0,0,0,0,
150010,Abaetetuba,23,43,14,21,21,28,27,13,2,13,13,
150013,Abel Figueiredo,2427,1163,1292,1472,1023,1593,2424,4385,1544,139,1383,
150020,Acará,438,164,474,37,186,409,93,426,55,74,129,
150030,Afuá,64,31,123,0,28,139,164,135,107,79,393,
150034,Água Azul do Norte,803,362,288,559,395,157,425,115,342,302,75,
150040,Alenquer,1291,1616,1157,266,1019,1536,1092,1288,878,528,1177,
150050,Almeirim,5469,5846,5033,3208,5091,2741,2443,4333,2487,1562,2049,
150060,Altamira,1227,929,82,562,735,977,723,702,803,446,664,
150070,Anajás,12,339,292,202,158,117,151,111,0,107,35,
150080,Ananindeua,8,4,4,0,2,2,2,4,2,2,0,
150085,Anapu,416,407,5485,1659,257,2475,1144,1631,3777,1028,3174,
150090,Augusto Corrêa,243,542,102,49,73,216,235,348,183,23,268,
150095,Aurora do Pará,753,407,314,301,296,798,176,242,136,33,33,
150100,Aveiro,1381,1059,345,634,252,252,439,94,1379,188,439,
150110,Bagre,1346,1163,638,293,771,1063,225,1019,954,654,47,
150120,Baião,1718,94,848,217,551,688,558,988,411,245,716,
150125,Bannach,1312,508,507,0,0,0,898,0,153,1547,125,
150130,Barcarena,24,11,0,1,49,0,9,9,0,17,8,
150140,Belém,2,4,5,1,4,2,3,2,5,3,1,
150145,Belterra,2282,2721,2447,196,1094,1749,892,2068,1585,525,1623,
150150,Benevides,46,22,43,0,0,18,0,0,0,0,0,
150157,Bom Jesus do Tocantins,533,148,74,459,711,512,503,373,308,489,484,
150160,Bonito,0,169,83,0,72,7,272,0,654,193,0,
150170,Bragança,167,161,196,8,288,224,472,225,189,114,161,
150172,Brasil Novo,272,1587,2227,1448,2825,2004,1699,3435,5473,1955,4493,
150175,Brejo Grande do Araguaia,0,0,78,683,274,822,961,276,415,139,696,
150178,Breu Branco,1508,1111,824,419,796,1351,896,57,506,367,343,
150180,Breves,11,2,59,22,32,84,41,41,31,2,3,
150190,Bujaru,311,43,85,0,0,76,0,183,0,0,0,
150200,Cachoeira do Arari,105,25,98,98,0,95,23,9,45,88,43,
150195,Cachoeira do Piriá,2493,1028,2024,529,1866,1705,2065,161,958,311,486,
150210,Cametá,19,208,128,25,57,48,71,62,69,23,3,
150215,Canaã dos Carajás,295,268,217,187,179,172,193,216,357,201,305,
150220,Capanema,212,16,16,47,0,31,61,3,15,0,6,
150230,Capitão Poço,118,266,95,77,96,77,95,95,38,19,114,
150240,Castanhal,66,63,74,75,45,17,22,16,5,5,36,
150250,Chaves,52,0,49,0,47,46,45,0,44,44,0,
150260,Colares,273,0,175,0,175,522,431,687,257,171,0,
150270,Conceição do Araguaia,309,85,212,307,197,392,26,194,172,129,21,
150275,Concórdia do Pará,47,9,135,35,0,68,0,97,96,31,31,
150276,Cumaru do Norte,1818,881,185,1432,462,1167,769,414,1046,392,917,
150277,Curionópolis,507,884,334,547,385,387,1335,2466,1581,398,401,
150280,Curralinho,236,372,182,0,68,536,356,222,31,91,209,
150285,Curuá,252,158,154,245,40,157,0,45,442,0,357,
150290,Curuçá,3,84,27,58,86,0,27,54,53,0,51,
150293,Dom Eliseu,2726,1302,1074,994,843,1827,897,1513,585,21,344,
150295,Eldorado dos Carajás,1366,375,479,536,501,374,278,86,52,244,213,
150300,Faro,232,214,153,122,373,253,13,933,136,279,0,
150304,Floresta do Araguaia,601,258,896,505,166,0,107,53,0,0,51,
150307,Garrafão do Norte,366,354,705,24,956,318,949,474,79,237,434,
150309,Goianésia do Pará,2908,2169,2194,1183,2417,4929,3918,3839,2212,569,1677,
150310,Gurupá,205,158,78,138,102,133,65,192,32,62,185,
150320,Igarapé-Açu,89,57,114,56,221,82,19,81,27,133,26,
150330,Igarapé-Miri,18,353,263,52,376,662,553,867,265,165,312,
150340,Inhangapi,0,99,96,497,196,96,187,0,9,0,351,
150345,Ipixuna do Pará,1163,915,1081,837,1144,2211,1117,1448,615,99,305,
150350,Irituia,134,33,98,191,286,222,411,19,348,32,316,
150360,Itaituba,745,673,493,678,983,1072,1128,915,1077,1168,1543,
150370,Itupiranga,119,331,457,351,74,447,406,754,1371,309,463,
150375,Jacareacanga,539,251,313,57,1055,386,241,434,145,217,3723,
150380,Jacundá,349,165,322,195,153,17,46,417,393,229,382,
150390,Juruti,1095,54,253,233,207,465,194,474,389,236,355,
150400,Limoeiro do Ajuru,43,204,8,0,0,39,38,148,37,36,0,
150405,Mãe do Rio,109,7,34,36,0,71,105,69,69,0,68,
150410,Magalhães Barata,131,254,1013,0,0,0,243,121,0,121,12,
150420,Marabá,484,415,325,317,436,361,33,478,763,195,254,
150430,Maracanã,0,0,34,0,35,0,35,35,0,0,0,
150440,Marapanim,0,72,25,75,112,0,147,183,0,0,0,
150442,Marituba,21,0,1,9,9,9,0,0,8,0,0,
150445,Medicilândia,11006,843,777,3425,4895,8467,3346,4755,5454,221,7486,
150450,Melgaço,224,167,396,4,4,39,39,38,38,0,37,
150460,Mocajuba,1462,699,324,112,478,145,141,173,238,67,198,
150470,Moju,1818,923,656,586,701,124,415,1538,556,178,526,
150475,Mojuí dos Campos,0,0,0,0,0,0,788,1304,1813,90,1854,
150480,Monte Alegre,1565,1589,1595,757,1456,1326,1639,2579,1279,656,186,
150490,Muaná,104,10,33,58,57,113,55,107,79,26,25,
150495,Nova Esperança do Piriá,1158,1102,748,248,1185,934,974,728,532,338,1635,
150497,Nova Ipixuna,355,338,265,341,202,398,195,256,189,25,185,
150500,Nova Timboteua,0,239,158,0,72,0,0,69,205,0,0,
150503,Novo Progresso,3334,3525,1535,227,2506,2465,1746,2463,2188,1155,1875,
150506,Novo Repartimento,1336,1174,717,853,1101,2427,99,1501,2696,802,1057,
150510,Óbidos,1646,1698,1652,365,1029,2472,957,1987,753,593,209,
150520,Oeiras do Pará,354,982,746,7,276,442,233,492,648,32,285,
150530,Oriximiná,2501,1679,1057,365,1142,1862,1272,181,1029,585,1252,
150540,Ourém,66,127,126,61,61,12,59,118,0,0,58,
150543,Ourilândia do Norte,294,52,61,254,465,385,846,1193,585,797,1128,
150548,Pacajá,2633,4219,2288,1049,218,2113,1672,239,2702,1053,125,
150549,Palestina do Pará,14,0,274,267,268,134,268,1075,404,0,0,
150550,Paragominas,1982,1581,924,1115,1398,1049,1127,1243,72,295,673,
150553,Parauapebas,428,317,386,351,743,421,583,742,911,26,553,
150555,Pau D'Arco,928,0,307,498,336,511,697,0,361,184,749,
150560,Peixe-Boi,0,0,0,0,0,0,127,0,127,0,0,
150563,Piçarra,551,229,457,394,315,79,708,315,473,158,0,
150565,Placas,2347,1419,1327,1421,1576,1097,1304,213,981,443,1229,
150570,Ponta de Pedras,41,0,0,0,0,0,0,0,0,0,0,
150580,Portel,1579,2064,2104,1016,353,2357,927,1451,2145,995,3282,
150590,Porto de Moz,68,578,463,236,374,225,271,319,312,28,35,
150600,Prainha,2799,2196,1882,1162,225,1705,1636,2631,1541,1201,1067,
150610,Primavera,96,0,0,0,0,29,288,191,0,95,95,
150611,Quatipuru,0,0,0,0,0,79,0,0,0,0,0,
150613,Redenção,201,9,149,66,157,116,114,88,173,37,291,
150616,Rio Maria,824,229,287,226,226,338,225,451,62,169,169,
150618,Rondon do Pará,291,1232,712,1128,1326,2165,1307,1819,104,377,923,
150619,Rurópolis,1335,913,915,574,1066,872,834,899,791,479,1181,
150620,Salinópolis,81,103,102,0,0,26,26,129,0,102,126,
150630,Salvaterra,176,56,0,0,0,0,0,136,0,0,43,
150635,Santa Bárbara do Pará,73,0,0,0,57,0,0,0,0,0,0,
150640,Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,
150650,Santa Isabel do Pará,19,37,36,0,0,0,0,15,15,15,0,
150655,Santa Luzia do Pará,331,432,163,154,463,463,463,206,206,103,466,
150658,Santa Maria das Barreiras,1374,35,844,349,283,496,739,36,502,98,384,
150660,Santa Maria do Pará,45,261,43,304,172,43,0,84,0,0,83,
150670,Santana do Araguaia,108,643,836,659,396,267,254,231,224,58,155,
150680,Santarém,463,501,452,248,36,397,191,358,174,98,142,
150690,Santarém Novo,333,0,0,325,161,32,0,0,0,0,0,
150700,Santo Antônio do Tauá,4,0,37,0,74,72,245,103,34,0,0,
150710,São Caetano de Odivelas,0,0,237,0,0,0,174,0,115,0,57,
150715,São Domingos do Araguaia,379,1005,725,134,1241,169,25,578,204,41,402,
150720,São Domingos do Capim,74,0,143,302,333,397,196,228,13,0,225,
150730,São Félix do Xingu,962,81,565,241,575,30,383,645,689,34,409,
150740,São Francisco do Pará,168,167,17,263,595,132,196,0,0,195,453,
150745,São Geraldo do Araguaia,563,395,559,43,669,237,399,926,1544,246,124,
150746,São João da Ponta,0,202,198,19,187,183,178,175,0,0,0,
150747,São João de Pirabas,0,102,5,0,48,0,279,92,0,0,134,
150750,São João do Araguaia,428,84,335,684,756,828,82,965,961,59,808,
150760,São Miguel do Guamá,23,67,67,58,57,75,18,36,18,0,0,
150770,São Sebastião da Boa Vista,195,0,46,87,86,42,0,121,4,0,0,
150775,Sapucaia,0,0,535,198,0,0,0,182,0,0,0,
150780,Senador José Porfírio,2307,1579,831,1154,1713,1187,892,1739,2114,164,5635,
150790,Soure,0,0,45,0,0,0,0,0,0,0,0,
150795,Tailândia,238,1437,1911,618,1407,1977,883,1842,978,259,61,
150796,Terra Alta,0,193,95,0,96,0,185,91,9,355,0,
150797,Terra Santa,1045,315,312,59,117,347,0,1012,111,55,11,
150800,Tomé-Açu,325,2638,286,938,2604,3436,761,2425,134,622,778,
150803,Tracuateua,77,37,36,109,72,71,104,24,34,67,332,
150805,Trairão,323,2195,642,1836,1697,1329,1415,1174,1327,656,1678,
150808,Tucumã,377,655,469,713,553,401,444,954,429,738,727,
